EMOTION,TEXT,cleaned_text
fear,"I watched a very terrfying film in LT2.  This film really pushed  
my heart out of my body and I was forced to go out before the  
second reel ended.",watch terrfi film lt2. film realli push heart bodi forc go second reel ended.
anger,""" I have been hearing rumours that you have not been allowing  
people in your room,"" he said.  This sentence really shot my  
heart.  I failed to find the right words, instead I walked away  
without uttering a word.",""" hear rumour allow peopl room,"" said. sentenc realli shot heart. fail find right words, instead walk away without utter word."
sadness,"One Saturday morning I had got ready to go out swimming with my  
friends.  Unfortunately the weather did not permit it, so we  
stayed indoors.","one saturday morn got readi go swim friends. unfortun weather permit it, stay indoors."
disgust,"One day I went to town to get my grocery.  On my way back, I took  
a mini bus which was full of drunk students.  I felt very  
disgusted.","one day went town get grocery. way back, took mini bu full drunk students. felt disgusted."
shame,"I had gone to aa bookshop to buy some books.  Somehow, I got very  
cross with the security guard checking through what I had bought.  
 I lost my temper and screamed at him.  Later I felt very ashamed  
at myself as a lot of people I know were there.","gone aa bookshop buy books. somehow, got cross secur guard check bought. lost temper scream him. later felt asham lot peopl know there."
guilt,"I remember deceiving my brother, I told him that I was going to  
attend the Sunday service, instead I went out to the town with a friend. ","rememb deceiv brother, told go attend sunday service, instead went town friend."
joy,"When I heard that a close relative of mine had given birth at a  
very young age, in a very remote area and had had very few problems.","heard close rel mine given birth young age, remot area problems."
fear,The possibility of having failed the examination.,possibl fail examination.
anger,When someone chased me from his house.,someon chase house.
sadness,"When I realized that I did not have the basic things needed by a  
student like me.",realiz basic thing need student like me.
disgust,"When some people, including me, are treated in a way which  
equates them to an animal or a thing.","people, includ me, treat way equat anim thing."
shame,"When someone I know was caught in an ""adultery"" situation.","someon know caught ""adultery"" situation."
guilt,"When I did something wrong in the past and denied having done it  
when asked about it later.",someth wrong past deni done ask later.
joy,"My girlfriend wrote to me telling me that she was four months  
pregnant and that I was responsible for the ""damages"".  This made  
me happy as I longed to have a child to call mine.","girlfriend wrote tell four month pregnant respons ""damages"". made happi long child call mine."
fear,"The shooting started and we all lay down to protect ourselves  
from the flying bullets.  This incident occured on our way to  
Feira, during the Zambia army patrols in the Rhodesia war.","shoot start lay protect fli bullets. incid occur way feira, zambia armi patrol rhodesia war."
anger,"I went to the dining hall and found that the cooks were cleaning  
the plates and there was no food for me, and the blue birds   
(security guards) were busy eating the food that was supposed to  
be for me.","went dine hall found cook clean plate food me, blue bird (secur guards) busi eat food suppos me."
sadness,"That afternoon I received two messages informing me, one that my  
brother was in a coma in the U.T.H suffering (kidney disease) and  
two, that my uncle met with an accident on his way to the hospital  
 to see my brother.","afternoon receiv two messag inform me, one brother coma u.t.h suffer (kidney disease) two, uncl met accid way hospit see brother."
disgust,"This happened when I went to visit my friend in Chelston and  
found him screwing my girlfriend.",happen went visit friend chelston found screw girlfriend.
shame,"When I walked out of my room with only my pants on and found my  
girlfriend and her female friend looking for me outside.",walk room pant found girlfriend femal friend look outside.
guilt,"My father caught me having sexual intercourse with my closest  
cousin.  There was nothing wrong with it but the female was too  
old for me.",father caught sexual intercours closest cousin. noth wrong femal old me.
joy,"When a girl I wanted very much, said ""yes"" and fell in love with   
me.","girl want much, said ""yes"" fell love me."
fear,"One evening, when I had gone fishing with my friends, we heard  
the roar of a lion near by and had to run for our lives.","one evening, gone fish friends, heard roar lion near run lives."
anger,When somebody stole my brother's disco machine.,somebodi stole brother' disco machine.
